
 num     #instances         #bytes  class name
 243:           213           6816  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 244:           212           6784  com.fasterxml.jackson.databind.ser.SerializerCache$TypeKey
 245:           121           6776  org.springframework.expression.spel.ast.Indexer
 246:           281           6744  org.springframework.beans.factory.config.RuntimeBeanReference
 247:           210           6720  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 248:           166           6640  java.lang.invoke.MethodType
 249:           313           6600  [Ljava.lang.annotation.Annotation;
 250:           275           6600  com.hazelcast.util.ContextMutexFactory
 251:           205           6560  org.springframework.asm.Type
 252:           271           6504  com.hazelcast.durableexecutor.impl.DurableExecutorPartitionContainer
 253:           271           6504  com.hazelcast.internal.partition.PartitionServiceProxy$PartitionProxy
 254:           271           6504  com.hazelcast.internal.partition.impl.PartitionReplicaVersions
 255:           313           6472  [Lorg.apache.tomcat.util.modeler.ParameterInfo;
 256:           269           6456  java.util.Date
 257:           403           6448  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 258:           403           6448  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 259:           403           6448  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 260:           161           6440  org.springframework.beans.factory.support.DisposableBeanAdapter
 261:           267           6408  java.util.ArrayDeque
 262:           266           6384  java.util.concurrent.atomic.AtomicLong
 263:           132           6336  org.apache.tomcat.util.buf.CharChunk
 264:           391           6256  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet
 265:           156           6240  java.security.AccessControlContext
 266:           111           6216  sun.security.util.MemoryCache$SoftCacheEntry
 267:           111           6216  sun.security.x509.X509CertInfo
 268:           129           6192  java.beans.BeanDescriptor
 269:           129           6192  org.apache.tomcat.util.buf.MessageBytes
 270:           102           6120  [Ljava.lang.ref.SoftReference;
 271:            85           6120  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 272:           108           6048  java.util.ResourceBundle$CacheKey
 273:           108           6048  org.springframework.beans.factory.config.DependencyDescriptor
 274:            22           5984  [Lcom.fasterxml.jackson.core.sym.Name;
 275:           187           5984  com.hazelcast.internal.partition.impl.PartitionReplicaFragmentVersions
 276:           187           5984  javax.management.MBeanParameterInfo
 277:           243           5824  [Lorg.springframework.expression.spel.ast.SpelNodeImpl;
 278:           121           5808  org.springframework.expression.spel.ast.PropertyOrFieldReference
 279:           236           5664  sun.reflect.generics.tree.Wildcard
 280:           235           5640  java.util.zip.ZStreamRef
 281:           176           5632  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 282:            49           5488  java.util.GregorianCalendar
 283:           168           5376  com.hazelcast.spi.properties.HazelcastProperty
 284:           335           5360  java.util.jar.Attributes
 285:            19           5320  com.alibaba.dubbo.config.ProviderConfig
 286:           332           5312  org.springframework.beans.factory.support.MethodOverrides
 287:           137           5240  [Ljava.security.ProtectionDomain;
 288:           108           5184  java.util.ResourceBundle$BundleReference
 289:           129           5160  java.beans.GenericBeanInfo
 290:           200           5096  [Lorg.springframework.core.ResolvableType;
 291:            53           5088  sun.util.calendar.Gregorian$Date
 292:            79           5072  [Ljavax.management.MBeanAttributeInfo;
 293:           154           4928  java.util.regex.Pattern$Curly
 294:           153           4896  com.alibaba.fastjson.util.IdentityHashMap$Entry
 295:            68           4896  org.jboss.resteasy.core.ResourceMethodInvoker
 296:           153           4896  sun.reflect.generics.repository.ClassRepository
 297:           152           4864  org.springframework.cglib.proxy.MethodProxy
 298:           121           4840  org.springframework.expression.spel.ast.StringLiteral
 299:           121           4840  org.springframework.expression.spel.standard.SpelExpression
 300:            34           4800  [[Ljava.lang.Object;
 301:           150           4800  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 302:           119           4760  java.io.ObjectStreamField
 303:           198           4752  java.util.regex.Pattern$1
 304:            12           4704  com.alibaba.druid.stat.JdbcSqlStat
 305:            21           4704  com.alibaba.dubbo.config.spring.ReferenceBean
 306:           195           4680  java.util.regex.Pattern$5
 307:           195           4680  javax.management.ImmutableDescriptor
 308:           193           4632  java.util.concurrent.LinkedBlockingQueue$Node
 309:           192           4608  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry
 310:           192           4608  java.util.concurrent.ConcurrentLinkedQueue$Node
 311:           276           4416  java.lang.Byte
 312:            19           4408  com.alibaba.dubbo.config.spring.ServiceBean
 313:           110           4400  org.springframework.util.ConcurrentReferenceHashMap
 314:            68           4352  com.mysql.jdbc.ConnectionPropertiesImpl$StringConnectionProperty
 315:            68           4352  org.jboss.resteasy.spi.metadata.ResourceMethod
 316:           271           4336  com.hazelcast.concurrent.lock.LockStoreContainer$1
 317:           271           4336  com.hazelcast.map.impl.PartitionContainer$1
 318:           271           4336  com.hazelcast.map.impl.PartitionContainer$2
 319:           271           4336  com.hazelcast.map.impl.PartitionContainer$3
 320:           271           4336  com.hazelcast.multimap.impl.MultiMapPartitionContainer$1
 321:           271           4336  com.hazelcast.replicatedmap.impl.PartitionContainer$1
 322:           271           4336  com.hazelcast.scheduledexecutor.impl.ScheduledExecutorPartition$1
 323:            30           4320  java.text.DecimalFormat
 324:           179           4296  javax.ws.rs.core.MediaType
 325:           178           4272  javassist.bytecode.SignatureAttribute
 326:            87           4176  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 327:           130           4160  com.fasterxml.jackson.databind.introspect.AnnotatedConstructor
 328:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 329:           173           4152  java.util.regex.Pattern$GroupTail
 330:           259           4144  java.lang.Short
